district,latitude,longitude
Ahmadabad,22.727304545703074,72.20334419362851
Amreli,21.421105906644886,71.26366509890661
Anand,22.45021773416345,72.79105199048531
Aravalli,23.46916113093196,73.33319414103283
BanasKantha,24.28105180263244,72.03933829255593
Bharuch,21.787210819917767,72.92287458480608
Bhavnagar,21.598293691153028,71.92333228408803
Botad,22.040935249533646,71.61149762627126
ChhotaUdaipur,22.205052409353478,73.86189317118387
Dahod,22.797531735485048,74.06683404880452
DevbhumiDwarka,22.12421728578567,69.47262688091008
Gandhinagar,23.208065054470616,72.69962255234779
GirSomnath,20.92539169652194,70.62183143170932
Jamnagar,22.336459907760876,70.23197564257775
Junagadh,21.255794967646835,70.571015422065
Kachchh,23.62541190127695,69.96719545538434
Kheda,22.87645545765008,73.0234713938448
Mahesana,23.579624536500493,72.49630254106391
Mahisagar,23.207261116213633,73.7686776744171
Morbi,22.824461514816214,70.93665467845923
Narmada,21.711541818766555,73.65743865507254
Navsari,20.812529572151888,73.10328072482784
PanchMahals,22.734367067674995,73.61154532098766
Patan,23.767923945952283,71.80012118248177
Porbandar,21.637688257427882,69.80210844296589
Rajkot,22.015066288107615,70.76069427694104
SabarKantha,23.804689672373183,73.0374563380125
Surat,21.264113198629907,73.07408447519664
Surendranagar,22.767886198804536,71.60655567375689
Tapi,21.192365530976957,73.63815015748122
TheDangs,20.798556707941895,73.70615134880849
Vadodara,22.245874274048415,73.24964833211872
Valsad,20.418253361078385,73.12213034038841
