district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
mahesana,Mustard,2002,8,14500.0,3,280.5173913043478,9.048948106591864,4.8273797447397074e-05,2002-08-01,1492.5,1255.0,1254.2857142857142,1125.5555555555557,1138.3333333333333,225.0,1211.6137566137568,74.52944403422694,1193.1679894179895,55.624925039324275,13245.0,13374.444444444445,340.4341614906832,43.45287625418061,2.6937131907793e-05,2.7313209382019634e-05,-0.8660254037844384,-0.5000000000000004
rajkot,Mustard,2002,8,1420.0,9,248.7565217391304,8.024403927068724,4.728921763281194e-05,2002-08-01,1707.5,14500.0,1255.0,1254.2857142857142,1180.0,236.25,5669.761904761905,7647.210520281013,3420.1124338624336,5428.232725812674,-13080.0,165.71428571428578,616.1848861283644,11.692006688963176,4.8273797447397074e-05,2.631390666063416e-05,-0.8660254037844384,-0.5000000000000004
rajkot,Mustard,2002,9,1452.0,5,198.22727272727272,6.6075757575757565,5.92071142503876e-05,2002-09-01,16483.333333333332,1420.0,14500.0,1255.0,1205.8333333333333,1148.571428571429,5725.0,7599.8207215696875,3460.1124338624336,5409.275342588219,32.0,197.0,763.6501035196686,44.382627898417354,4.728921763281194e-05,3.22699823425946e-05,-1.0,-1.8369701987210297e-16
rajkot,Mustard,2002,10,1405.0,3,24.654545454545453,0.795307917888563,5.2089952040357616e-05,2002-10-01,1530.0,1452.0,1420.0,14500.0,1125.5555555555557,1020.0,5790.666666666667,7542.520887165863,3501.140211640212,5389.65565267984,-47.0,-13095.0,727.5011857707509,3.9486326681448602,5.92071142503876e-05,3.816154592960543e-06,-0.8660254037844386,0.5000000000000001
rajkot,Mustard,2002,11,1492.5,4,7.85,0.2616666666666666,4.532491131058712e-05,2002-11-01,16050.0,1405.0,1452.0,1420.0,1254.2857142857142,232.8571428571429,1425.6666666666667,24.006943439885553,3547.7142857142862,5366.177908617899,87.5,72.5,471.63833992094857,0.6708556680563831,5.2089952040357616e-05,-1.9643063222248185e-06,-0.5000000000000004,0.8660254037844384
rajkot,Mustard,2002,12,1707.5,2,0.8863636363636364,0.0285923753665689,4.318471679287518e-05,2002-12-01,324.0,1492.5,1405.0,1452.0,1255.0,1102.5,1449.8333333333333,43.79021960810319,3587.4166666666665,5346.661766155276,215.0,255.5,230.73181818181817,-1.1023493934850759,4.532491131058712e-05,-1.6022397457512415e-05,-2.4492935982947064e-16,1.0
mahesana,Mustard,2003,1,16483.333333333332,9,3.5,0.1129032258064516,5.317022468166837e-05,2003-01-01,16141.666666666666,1707.5,1492.5,1405.0,14500.0,1138.3333333333333,1535.0,155.66390076055765,3662.8333333333335,5310.249586099194,14775.833333333332,15078.333333333332,33.39090909090909,2.2507009933358484,4.318471679287518e-05,1.0802726413107559e-06,0.49999999999999994,0.8660254037844387
rajkot,Mustard,2003,2,1530.0,2,3.8,0.1357142857142857,3.617472262739891e-05,2003-02-01,1531.25,16483.333333333332,1707.5,1492.5,1420.0,1180.0,6561.11111111111,8593.568910549933,3993.3888888888882,6119.790688746966,-14953.333333333332,37.5,12.236363636363636,3.540678361493579,5.317022468166837e-05,-9.150188683188213e-06,0.8660254037844386,0.5000000000000001
mahesana,Mustard,2003,2,16050.0,6,25.3,0.9035714285714284,4.896695417507927e-05,2003-02-01,1803.3333333333333,1530.0,16483.333333333332,1707.5,1452.0,1205.8333333333333,6573.61111111111,8582.530072985686,4011.7222222222213,6110.69763853765,14520.0,14342.5,8.186363636363636,25.04067836149358,3.617472262739891e-05,5.78223738220409e-06,0.8660254037844386,0.5000000000000001
gandhinagar,Mustard,2003,3,324.0,1,0.0,0.0,3.9022690419989816e-05,2003-03-01,1680.0,16050.0,1530.0,16483.333333333332,1405.0,1125.5555555555557,11354.444444444443,8510.976790352912,6444.722222222222,7609.916532369432,-15726.0,-16159.333333333332,32.6,-1.993022957547775,4.896695417507927e-05,-1.4147534261678557e-05,1.0,6.123233995736766e-17
mahesana,Mustard,2003,3,16141.666666666666,6,0.0,0.0,3.811290185956069e-05,2003-03-01,1742.375,324.0,16050.0,1530.0,1492.5,1254.2857142857142,5968.0,8752.065584763406,6264.555555555555,7764.326479816854,15817.666666666666,14611.666666666666,29.099999999999998,-1.993022957547775,3.9022690419989816e-05,1.9381792321617803e-06,1.0,6.123233995736766e-17
