district,year,month,monthly_rain_sum,monthly_rain_mean
ahmadabad,2014,8,135.9,4.383870967741935
ahmadabad,2014,9,301.7,10.056666666666668
ahmadabad,2014,10,2.2,0.0709677419354838
ahmadabad,2014,11,6.2,0.2066666666666666
ahmadabad,2014,12,0.0,0.0
ahmadabad,2015,1,5.5,0.1774193548387097
ahmadabad,2015,2,0.0,0.0
ahmadabad,2015,3,32.9,1.0612903225806452
ahmadabad,2015,4,2.8,0.0933333333333333
ahmadabad,2015,5,0.1,0.0032258064516129
ahmadabad,2015,6,44.3,1.4766666666666666
ahmadabad,2015,7,363.5,11.725806451612904
ahmadabad,2015,8,25.8,0.832258064516129
ahmadabad,2015,9,72.3,2.41
ahmadabad,2015,10,0.0,0.0
ahmadabad,2015,11,0.0,0.0
ahmadabad,2015,12,0.0,0.0
ahmadabad,2016,1,0.0,0.0
ahmadabad,2016,2,0.0,0.0
ahmadabad,2016,3,0.5,0.0161290322580645
ahmadabad,2016,4,0.0,0.0
ahmadabad,2016,5,1.5,0.0483870967741935
ahmadabad,2016,6,40.50000000000001,1.3500000000000003
ahmadabad,2016,7,174.6,5.632258064516129
ahmadabad,2016,8,330.4,10.658064516129032
ahmadabad,2016,9,6.4,0.2133333333333333
ahmadabad,2016,10,112.8,3.638709677419355
ahmadabad,2016,11,0.0,0.0
ahmadabad,2016,12,0.0,0.0
ahmadabad,2017,1,0.0,0.0
ahmadabad,2017,2,0.0,0.0
ahmadabad,2017,3,0.0,0.0
ahmadabad,2017,4,0.0,0.0
ahmadabad,2017,5,0.6,0.0193548387096774
ahmadabad,2017,6,92.0,3.066666666666667
ahmadabad,2017,7,733.0,23.64516129032258
ahmadabad,2017,8,225.9,7.287096774193548
ahmadabad,2017,9,68.3,2.2766666666666664
ahmadabad,2017,10,0.3,0.0096774193548387
ahmadabad,2017,11,0.0,0.0
ahmadabad,2017,12,13.6,0.4387096774193549
ahmadabad,2018,1,0.0,0.0
ahmadabad,2018,2,0.6,0.0214285714285714
ahmadabad,2018,3,0.0,0.0
ahmadabad,2018,4,0.3,0.01
ahmadabad,2018,5,0.5,0.0161290322580645
ahmadabad,2018,6,18.4,0.6133333333333333
ahmadabad,2018,7,465.3,15.00967741935484
ahmadabad,2018,8,257.2,8.296774193548387
ahmadabad,2018,9,36.9,1.23
ahmadabad,2018,10,0.0,0.0
ahmadabad,2018,11,0.0,0.0
ahmadabad,2018,12,0.0,0.0
ahmadabad,2019,1,0.0,0.0
ahmadabad,2019,2,0.0,0.0
ahmadabad,2019,3,0.2,0.0064516129032258
ahmadabad,2019,4,0.1,0.0033333333333333
ahmadabad,2019,5,0.0,0.0
ahmadabad,2019,6,104.7,3.49
ahmadabad,2019,7,230.0,7.419354838709677
ahmadabad,2019,8,768.9,24.80322580645161
ahmadabad,2019,9,420.0,14.0
ahmadabad,2019,10,18.5,0.5967741935483871
ahmadabad,2019,11,10.4,0.3466666666666666
ahmadabad,2019,12,0.2,0.0064516129032258
ahmadabad,2020,1,2.7,0.0870967741935483
ahmadabad,2020,2,0.0,0.0
ahmadabad,2020,3,3.1,0.0999999999999999
ahmadabad,2020,4,0.0,0.0
ahmadabad,2020,5,0.1,0.0032258064516129
ahmadabad,2020,6,81.6,2.72
ahmadabad,2020,7,211.4,6.819354838709677
ahmadabad,2020,8,664.0,21.41935483870968
ahmadabad,2020,9,65.1,2.17
ahmadabad,2020,10,16.7,0.5387096774193548
ahmadabad,2020,11,0.0,0.0
ahmadabad,2020,12,3.0,0.0967741935483871
ahmadabad,2021,1,0.0,0.0
ahmadabad,2021,2,0.0,0.0
ahmadabad,2021,3,0.0,0.0
ahmadabad,2021,4,0.0,0.0
ahmadabad,2021,5,144.6,4.664516129032258
ahmadabad,2021,6,117.9,3.93
ahmadabad,2021,7,231.2,7.458064516129032
ahmadabad,2021,8,37.2,1.2000000000000002
ahmadabad,2021,9,470.4,15.68
ahmadabad,2021,10,9.7,0.3129032258064516
ahmadabad,2021,11,3.9,0.13
ahmadabad,2021,12,12.9,0.4161290322580645
ahmadabad,2022,1,5.9,0.1903225806451612
ahmadabad,2022,2,0.0,0.0
ahmadabad,2022,3,0.0,0.0
ahmadabad,2022,4,0.5,0.0166666666666666
ahmadabad,2022,5,0.2,0.0064516129032258
ahmadabad,2022,6,30.0,1.0
ahmadabad,2022,7,483.7,15.603225806451611
ahmadabad,2022,8,225.2,7.264516129032257
ahmadabad,2022,9,103.0,3.433333333333333
ahmadabad,2022,10,36.1,1.164516129032258
ahmadabad,2022,11,0.0,0.0
ahmadabad,2022,12,0.3,0.0096774193548387
ahmadabad,2023,1,0.2,0.0064516129032258
ahmadabad,2023,2,0.0,0.0
ahmadabad,2023,3,6.9,0.2225806451612903
ahmadabad,2023,4,8.5,0.2833333333333333
ahmadabad,2023,5,7.2,0.232258064516129
ahmadabad,2023,6,146.7,4.89
ahmadabad,2023,7,410.4,13.238709677419354
ahmadabad,2023,8,26.3,0.8483870967741935
ahmadabad,2023,9,263.2,8.773333333333333
ahmadabad,2023,10,0.2,0.0064516129032258
ahmadabad,2023,11,23.8,0.7933333333333333
ahmadabad,2023,12,5.3,0.1709677419354838
ahmadabad,2024,1,0.0,0.0
ahmadabad,2024,2,0.3,0.0103448275862068
ahmadabad,2024,3,7.3,0.2354838709677419
ahmadabad,2024,4,0.2,0.0066666666666666
ahmadabad,2024,5,1.1,0.0354838709677419
ahmadabad,2024,6,95.5,3.183333333333333
ahmadabad,2024,7,637.1,20.55161290322581
ahmadabad,2024,8,620.0,20.0
