district,monthly_ndvi_mean,year,month
ahmadabad,2.145876884492433e-05,2016,5
ahmadabad,1.877084165374821e-05,2016,6
ahmadabad,1.6933296459072276e-05,2016,7
ahmadabad,3.8242507688747295e-05,2016,8
ahmadabad,4.909261400179009e-05,2016,9
ahmadabad,4.186539494096516e-05,2016,10
ahmadabad,3.767486192581924e-05,2016,11
ahmadabad,3.82640014680039e-05,2016,12
ahmadabad,3.994631387303658e-05,2017,1
ahmadabad,3.7046376212644734e-05,2017,2
ahmadabad,2.960569478936636e-05,2017,3
ahmadabad,2.5888256811143745e-05,2017,4
ahmadabad,2.258314879310385e-05,2017,5
ahmadabad,2.3348495267200336e-05,2017,6
ahmadabad,2.088166042918639e-05,2017,7
ahmadabad,4.0923991056534894e-05,2017,8
ahmadabad,4.84972400308825e-05,2017,9
ahmadabad,4.161186503880456e-05,2017,10
ahmadabad,3.78238894816127e-05,2017,11
ahmadabad,4.252240565730429e-05,2017,12
ahmadabad,4.299584114237011e-05,2018,1
ahmadabad,3.7911311939491934e-05,2018,2
ahmadabad,3.029429668021601e-05,2018,3
ahmadabad,2.5025456354904493e-05,2018,4
ahmadabad,2.0058650853705864e-05,2018,5
ahmadabad,1.8896322654630695e-05,2018,6
ahmadabad,1.4190475758591477e-05,2018,7
ahmadabad,3.51574889847144e-05,2018,8
ahmadabad,4.316152749301148e-05,2018,9
ahmadabad,3.76061135588367e-05,2018,10
ahmadabad,3.4604197805304365e-05,2018,11
ahmadabad,3.623375331813844e-05,2018,12
ahmadabad,3.767640241886117e-05,2019,1
ahmadabad,3.612484381064527e-05,2019,2
ahmadabad,2.7423557430637156e-05,2019,3
ahmadabad,2.434595138310186e-05,2019,4
ahmadabad,2.192138801217912e-05,2019,5
ahmadabad,1.9577523116147428e-05,2019,6
ahmadabad,1.7490397494106505e-05,2019,7
ahmadabad,3.2052080498776885e-05,2019,8
ahmadabad,4.731467871431298e-05,2019,9
ahmadabad,4.7615255253428885e-05,2019,10
ahmadabad,4.514273753635781e-05,2019,11
ahmadabad,4.1205177997909736e-05,2019,12
ahmadabad,4.694991872433266e-05,2020,1
ahmadabad,4.576876473882365e-05,2020,2
ahmadabad,3.514142870276463e-05,2020,3
ahmadabad,2.816312634585569e-05,2020,4
ahmadabad,2.3623283581452148e-05,2020,5
ahmadabad,2.700453068926787e-05,2020,6
ahmadabad,3.4942667638827434e-05,2020,7
ahmadabad,3.650853071117915e-05,2020,8
ahmadabad,4.979679720326332e-05,2020,9
ahmadabad,4.272846660597048e-05,2020,10
ahmadabad,3.799517657815833e-05,2020,11
ahmadabad,4.077453308727723e-05,2020,12
ahmadabad,4.660461810228506e-05,2021,1
ahmadabad,4.303949387313242e-05,2021,2
ahmadabad,3.246648377030273e-05,2021,3
ahmadabad,2.7804788547205936e-05,2021,4
ahmadabad,2.617031565225795e-05,2021,5
ahmadabad,2.6402233789097252e-05,2021,6
ahmadabad,2.6081889056416323e-05,2021,7
ahmadabad,3.721056149544299e-05,2021,8
ahmadabad,4.742559628897341e-05,2021,9
ahmadabad,4.864621774215967e-05,2021,10
ahmadabad,4.056489700951676e-05,2021,11
ahmadabad,4.093812746003217e-05,2021,12
ahmadabad,4.664454819011785e-05,2022,1
ahmadabad,4.197156709965887e-05,2022,2
ahmadabad,3.120859159264688e-05,2022,3
ahmadabad,2.781540197481532e-05,2022,4
ahmadabad,2.199548136392629e-05,2022,5
ahmadabad,2.0601894517025025e-05,2022,6
ahmadabad,2.443390872747113e-05,2022,7
ahmadabad,4.669875912838176e-05,2022,8
ahmadabad,5.006234074331053e-05,2022,9
